#id,type,P,uA,u0,uT,gA,g0,gT,rA,r0,rT,iA,i0,iT,zA,z0,zT
4099,ab,0.641754351271,0.534608250965,17.823475565699,101,0.563838731121,16.663740063633,101,0.398325831838,16.562859658339,103,0.317851244504,16.54863269327,102,0.302557183974,16.539893235126,100
13350,ab,0.547987422171,1.029444977151,18.242763790824,107,1.093322207702,16.988613486063,120,0.801719568295,17.092508950163,112,0.642110975157,17.147569570853,116,0.583436573653,17.190782343956,114
15927,ab,0.612262983773,0.651579373794,18.916868699265,102,0.697438996319,17.653491612718,106,0.486554026661,17.595966318204,108,0.368674017647,17.610786707684,104,0.34542192485,17.615747060041,100
20406,ab,0.631853138777,0.553247302385,16.380758497165,100,0.58678380143,15.205906203545,101,0.42684628121,15.11724791914,108,0.342734431072,15.118909480461,102,0.303788388098,15.132053024454,100
21992,ab,0.625880355362,1.109321960273,15.533572143193,106,1.139929559759,14.376995585543,112,0.849550762373,14.418441610516,114,0.661144139558,14.523218474953,111,0.619123373011,14.524696953247,114
27887,c,0.31149403602,0.361128484424,17.809503399073,0,0.429519518458,16.55487322632,0,0.298374341043,16.647612215532,1,0.242346512846,16.722270736141,1,0.204643612628,16.797719568062,0
46988,ab,0.572961748738,0.964272363821,15.83309367805,109,1.043711697847,14.544481861599,117,0.762692677674,14.620976817168,109,0.602270728808,14.680601053093,112,0.540124677895,14.715372825327,108
74260,ab,0.612522626959,1.082651310006,19.792589418916,109,1.243162359202,18.53759762818,120,0.905452563936,18.68472404738,114,0.725941614864,18.812496320136,111,0.672143963265,18.802623233215,108
75433,ab,0.555702765029,1.04129649751,15.302044095794,108,1.191709429623,14.040193189977,108,0.809981404291,14.169880748342,107,0.589519421758,14.302100053009,108,0.510225823184,14.341955147284,110
75486,ab,0.562574562809,0.981696534645,17.257460323484,103,1.006013600923,16.056510445671,112,0.732314023877,16.093004788307,110,0.582873763689,16.158921373595,111,0.524561548785,16.200030507529,104
91658,ab,0.647260858223,0.859808974196,16.554320484988,109,0.959232219851,15.36839577216,111,0.702417607413,15.380914100656,114,0.601226131881,15.394156815472,119,0.510250185065,15.470862308136,110
92912,ab,0.53879143865,1.07396384814,20.790010514195,106,1.206080880365,19.579409758268,120,0.863088254809,19.726607721661,114,0.738519693915,19.8063478854,116,0.630624323452,19.843593598005,117
93149,ab,0.509529275209,0.912872258082,19.413580497368,100,0.87932667725,18.315187379127,102,0.718229046159,18.34515964427,101,0.534958321892,18.399929518173,100,0.503289886109,18.361519624943,117
98874,ab,0.738329601782,0.337661353992,16.331322524781,100,0.373679768017,15.203711264699,100,0.264558118924,15.06889307422,100,0.20918848649,14.999402555032,100,0.200126076661,15.010171767973,100
114272,ab,0.793004216445,0.460669430151,19.575004579079,110,0.531145837663,18.48374182864,101,0.390129259334,18.373275441696,104,0.313171909077,18.360750123362,104,0.273675734455,18.351838091412,111
128795,ab,0.640023909169,0.538027439122,20.250271621656,103,0.581155340689,19.058113664475,102,0.423967037214,18.972958445802,105,0.324159765307,18.969613382537,102,0.269796036348,18.966517194402,100
133858,ab,0.641975699851,0.306484840872,18.54947460921,102,0.307024722222,17.370051239964,100,0.218021699288,17.210388638613,101,0.180654607204,17.146480291607,100,0.171132623747,17.144650719737,101
151276,ab,0.603455885245,1.036291089819,17.2762232864,109,1.178163375954,16.05197136157,118,0.895047046081,16.133932447982,117,0.697921567985,16.213072367117,113,0.601339682834,16.303537432927,108
156391,ab,0.907496629521,0.855805624305,16.569722087682,100,0.883899586189,15.377253770374,112,0.60521978089,15.533079167532,104,0.497349560027,15.593578792983,108,0.430263839669,15.613715648827,115
